date,open,high,low,close,adj_close,volume
2021-09-30,143.66000366210938,144.3800048828125,141.27999877929688,141.5,140.47848510742188,89056700
2021-10-01,141.89999389648438,142.9199981689453,139.11000061035156,142.64999389648438,141.6201629638672,94639600
2021-10-04,141.75999450683594,142.2100067138672,138.27000427246094,139.13999938964844,138.13551330566406,98322000
2021-10-05,139.49000549316406,142.24000549316406,139.36000061035156,141.11000061035156,140.09127807617188,80861100
2021-10-06,139.47000122070312,142.14999389648438,138.3699951171875,142.0,140.97486877441406,83221100
2021-10-07,143.05999755859375,144.22000122070312,142.72000122070312,143.2899932861328,142.25555419921875,61732700
2021-10-08,144.02999877929688,144.17999267578125,142.55999755859375,142.89999389648438,141.8683624267578,58773200
2021-10-11,142.27000427246094,144.80999755859375,141.80999755859375,142.80999755859375,141.7790069580078,64452200
2021-10-12,143.22999572753906,143.25,141.0399932861328,141.50999450683594,140.4884033203125,73035900
2021-10-13,141.24000549316406,141.39999389648438,139.1999969482422,140.91000366210938,139.8927459716797,78762700
2021-10-14,142.11000061035156,143.8800048828125,141.50999450683594,143.75999450683594,142.72216796875,69907100
2021-10-15,143.77000427246094,144.89999389648438,143.50999450683594,144.83999633789062,143.7943572998047,67940300
2021-10-18,143.4499969482422,146.83999633789062,143.16000366210938,146.5500030517578,145.4920196533203,85589200
2021-10-19,147.00999450683594,149.1699981689453,146.5500030517578,148.75999450683594,147.6860809326172,76378900
2021-10-20,148.6999969482422,149.75,148.1199951171875,149.25999450683594,148.18246459960938,58418800
2021-10-21,148.80999755859375,149.63999938964844,147.8699951171875,149.47999572753906,148.40087890625,61421000
2021-10-22,149.69000244140625,150.17999267578125,148.63999938964844,148.69000244140625,147.6165771484375,58883400
2021-10-25,148.67999267578125,149.3699951171875,147.6199951171875,148.63999938964844,147.5669403076172,50720600
2021-10-26,149.3300018310547,150.83999633789062,149.00999450683594,149.32000732421875,148.2420196533203,60893400
2021-10-27,149.36000061035156,149.72999572753906,148.49000549316406,148.85000610351562,147.77542114257812,56094900
2021-10-28,149.82000732421875,153.1699981689453,149.72000122070312,152.57000732421875,151.46856689453125,100077900
2021-10-29,147.22000122070312,149.94000244140625,146.41000366210938,149.8000030517578,148.71856689453125,124953200
2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,147.8846435546875,74588300
2021-11-02,148.66000366210938,151.57000732421875,148.64999389648438,150.02000427246094,148.93698120117188,69122000
2021-11-03,150.38999938964844,151.97000122070312,149.82000732421875,151.49000549316406,150.3963623046875,54511500
2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,149.8701934814453,60394600
2021-11-05,151.88999938964844,152.1999969482422,150.05999755859375,151.27999877929688,150.40707397460938,65463900
2021-11-08,151.41000366210938,151.57000732421875,150.16000366210938,150.44000244140625,149.57191467285156,55020900
2021-11-09,150.1999969482422,151.42999267578125,150.05999755859375,150.80999755859375,149.93978881835938,56787900
2021-11-10,150.02000427246094,150.1300048828125,147.85000610351562,147.9199981689453,147.0664520263672,65187100
2021-11-11,148.9600067138672,149.42999267578125,147.67999267578125,147.8699951171875,147.01675415039062,41000000
2021-11-12,148.42999267578125,150.39999389648438,147.47999572753906,149.99000549316406,149.12452697753906,63804000
2021-11-15,150.3699951171875,151.8800048828125,149.42999267578125,150.0,149.13446044921875,59222800
2021-11-16,149.94000244140625,151.49000549316406,149.33999633789062,151.0,150.12867736816406,59256200
2021-11-17,151.0,155.0,150.99000549316406,153.49000549316406,152.60430908203125,88807000
2021-11-18,153.7100067138672,158.6699981689453,153.0500030517578,157.8699951171875,156.95904541015625,137827700
2021-11-19,157.64999389648438,161.02000427246094,156.52999877929688,160.5500030517578,159.62356567382812,117305600
2021-11-22,161.67999267578125,165.6999969482422,161.0,161.02000427246094,160.0908660888672,117467900
2021-11-23,161.1199951171875,161.8000030517578,159.05999755859375,161.41000366210938,160.47862243652344,96041900
2021-11-24,160.75,162.13999938964844,159.63999938964844,161.94000244140625,161.0055694580078,69463600
2021-11-26,159.57000732421875,160.4499969482422,156.36000061035156,156.80999755859375,155.90516662597656,76959800
2021-11-29,159.3699951171875,161.19000244140625,158.7899932861328,160.24000549316406,159.31536865234375,88748200
2021-11-30,159.99000549316406,165.52000427246094,159.9199981689453,165.3000030517578,164.34617614746094,174048100
2021-12-01,167.47999572753906,170.3000030517578,164.52999877929688,164.77000427246094,163.81924438476562,152052500
2021-12-02,158.74000549316406,164.1999969482422,157.8000030517578,163.75999450683594,162.8150634765625,136739200
2021-12-03,164.02000427246094,164.9600067138672,159.72000122070312,161.83999633789062,160.90611267089844,118023100
2021-12-06,164.2899932861328,167.8800048828125,164.27999877929688,165.32000732421875,164.36605834960938,107497000
2021-12-07,169.0800018310547,171.5800018310547,168.33999633789062,171.17999267578125,170.19223022460938,120405400
